key,ms,type
17,0,0
86,231,0
17,335,1
86,383,1
key,ms,type
17,0,0
86,392,0
17,456,1
86,496,1
key,ms,type
17,0,0
86,440,0
17,513,1
86,577,1
8,2370,0
8,2432,1
17,8873,0
86,9154,0
17,9224,1
86,9273,1
